date,participant_id,resting_heart_rate,daily_steps,hours_sleep
2016-04-12 00:00:00+00:00,5528405368,60.8125,0.141666674,0.75
2016-04-12 00:01:00+00:00,5528405368,61.694927,0.141666674,0.75
2016-04-12 00:02:00+00:00,5528405368,62.183333,0.141666674,0.75
2016-04-12 00:03:00+00:00,5528405368,61.358334,0.141666674,0.75
2016-04-12 00:04:00+00:00,5528405368,61.4,0.141666674,0.75
2016-04-12 00:05:00+00:00,5528405368,62.07826,0.141666674,0.75
2016-04-12 00:06:00+00:00,5528405368,62.441667,0.141666674,0.75
2016-04-12 00:07:00+00:00,5528405368,61.9,0.141666674,0.75
2016-04-12 00:08:00+00:00,5528405368,62.191666,0.141666674,0.75
2016-04-12 00:09:00+00:00,5528405368,63.298718,0.141666674,1
2016-04-12 00:10:00+00:00,5528405368,60.830555,0.141666674,0.75
2016-04-12 00:11:00+00:00,5528405368,60.72,0.141666674,0.75
2016-04-12 00:12:00+00:00,5528405368,61.691666,0.141666674,0.75
2016-04-12 00:13:00+00:00,5528405368,62.0375,0.141666674,0.75
2016-04-12 00:14:00+00:00,5528405368,62.325,0.141666674,0.75
2016-04-12 00:15:00+00:00,5528405368,63.097222,0.141666674,0.75
2016-04-12 00:16:00+00:00,5528405368,63.2875,0.141666674,1
2016-04-12 00:17:00+00:00,6031096274,60.13333333,0.188888898,0.666666667
2016-04-12 00:18:00+00:00,6031096274,61.27777867,0.188888898,0.666666667
2016-04-12 00:19:00+00:00,6031096274,59.444444,0.188888898,1
2016-04-12 00:20:00+00:00,6031096274,58.55,0.188888898,1
2016-04-12 00:21:00+00:00,6031096274,58.9,0.188888898,1
2016-04-12 00:22:00+00:00,6031096274,59.3,0.188888898,0.666666667
2016-04-12 00:23:00+00:00,5528405368,63.707457,0.141666674,1
2016-04-12 00:24:00+00:00,5528405368,65.083333,0.141666674,1.25
2016-04-12 00:25:00+00:00,5528405368,61.880435,0.141666674,1.25
2016-04-12 00:26:00+00:00,5528405368,60.83125,0.141666674,1.25
2016-04-12 00:27:00+00:00,5528405368,60.225,0.141666674,1.5
2016-04-12 00:28:00+00:00,5528405368,61.045834,0.141666674,1.5
2016-04-12 00:29:00+00:00,5528405368,60.8,0.141666674,1.5
2016-04-12 00:30:00+00:00,5528405368,60.208334,0.141666674,1.25
2016-04-12 00:31:00+00:00,5528405368,59.955555,0.141666674,1
2016-04-12 00:32:00+00:00,5528405368,59.953333,0.141666674,1
2016-04-12 00:33:00+00:00,5528405368,60.2625,0.141666674,1
2016-04-12 00:34:00+00:00,5528405368,60,0.141666674,1
2016-04-12 00:35:00+00:00,5528405368,59.566667,0.141666674,1
2016-04-12 00:36:00+00:00,5528405368,59.525,0.141666674,1
2016-04-12 00:37:00+00:00,5528405368,59.958334,0.141666674,1
2016-04-12 00:38:00+00:00,5528405368,59.6875,0.141666674,1
2016-04-12 00:39:00+00:00,5528405368,59.666666,0.141666674,1
2016-04-12 00:40:00+00:00,5528405368,59.858333,0.141666674,1
2016-04-12 00:41:00+00:00,5528405368,59.566667,0.141666674,1
2016-04-12 00:42:00+00:00,5528405368,58.9875,0.141666674,1
2016-04-12 00:43:00+00:00,5528405368,59.091666,0.141666674,1
2016-04-12 00:44:00+00:00,5528405368,59.241666,0.141666674,1
2016-04-12 00:45:00+00:00,5528405368,59.9875,0.141666674,1
2016-04-12 00:46:00+00:00,5528405368,61.701785,0.141666674,1
2016-04-12 00:47:00+00:00,5528405368,60.7180555,0.141666674,1
2016-04-12 00:48:00+00:00,5528405368,62.76923,0.141666674,1.25
2016-04-12 00:49:00+00:00,5528405368,61.2261915,0.141666674,1.25
